127.0.0.1 - - [19/Jan/2023:19:03:57 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [19/Jan/2023:19:03:58 +0530] "GET /TechBlog/ HTTP/1.1" 200 6452
0:0:0:0:0:0:0:1 - - [19/Jan/2023:19:03:58 +0530] "GET /TechBlog/css/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2023:19:03:58 +0530] "GET /TechBlog/js/js.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2023:19:03:58 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [19/Jan/2023:19:04:08 +0530] "GET /TechBlog/registration_page.jsp HTTP/1.1" 200 7531
0:0:0:0:0:0:0:1 - - [19/Jan/2023:19:04:09 +0530] "GET /TechBlog/login_page.jsp HTTP/1.1" 200 4577
0:0:0:0:0:0:0:1 - - [19/Jan/2023:19:04:11 +0530] "GET /TechBlog/registration_page.jsp HTTP/1.1" 200 7531
0:0:0:0:0:0:0:1 - - [19/Jan/2023:19:04:13 +0530] "GET /TechBlog/login_page.jsp HTTP/1.1" 200 4577
0:0:0:0:0:0:0:1 - - [19/Jan/2023:19:04:14 +0530] "GET /TechBlog/registration_page.jsp HTTP/1.1" 200 7531
0:0:0:0:0:0:0:1 - - [19/Jan/2023:19:04:16 +0530] "GET /TechBlog/login_page.jsp HTTP/1.1" 200 4577
0:0:0:0:0:0:0:1 - - [19/Jan/2023:19:04:18 +0530] "GET /TechBlog/registration_page.jsp HTTP/1.1" 200 7531
0:0:0:0:0:0:0:1 - - [19/Jan/2023:19:04:19 +0530] "GET /TechBlog/login_page.jsp HTTP/1.1" 200 4577
0:0:0:0:0:0:0:1 - - [19/Jan/2023:19:04:20 +0530] "GET /TechBlog/registration_page.jsp HTTP/1.1" 200 7531
0:0:0:0:0:0:0:1 - - [19/Jan/2023:19:04:21 +0530] "GET /TechBlog/registration_page.jsp HTTP/1.1" 200 7531
0:0:0:0:0:0:0:1 - - [19/Jan/2023:19:04:22 +0530] "GET /TechBlog/login_page.jsp HTTP/1.1" 200 4577
0:0:0:0:0:0:0:1 - - [19/Jan/2023:19:04:25 +0530] "GET /TechBlog/index.jsp HTTP/1.1" 200 6452
0:0:0:0:0:0:0:1 - - [19/Jan/2023:19:04:30 +0530] "GET /TechBlog/registration_page.jsp HTTP/1.1" 200 7531
0:0:0:0:0:0:0:1 - - [19/Jan/2023:19:05:48 +0530] "GET /TechBlog/registration_page.jsp HTTP/1.1" 200 7531
